name,handedness,height,weight,avg,HR,BMI,power,log10HR,lm
Denny Lemaster,R,73,182,0.13,4,24.00938262,30.76923077,0.602059991,1.393375839
Joe Nolan,L,71,175,0.263,27,24.40487998,102.661597,1.431363764,1.423971515
Denny Doyle,L,69,175,0.25,16,25.84015963,64,1.204119983,1.535004749
Jose Cardenal,R,70,150,0.275,138,21.52040816,501.8181818,2.139879086,1.200828775
Mike Ryan,R,74,205,0.193,28,26.31756757,145.0777202,1.447158031,1.571937027
Fritz Peterson,B,72,185,0.159,2,25.08777006,12.57861635,0.301029996,1.476799892
Dick Bertell,R,72,200,0.25,10,27.12191358,40,1,1.634161235
Rod Kanehl,R,73,180,0.241,6,23.74554325,24.89626556,0.77815125,1.372965226
Juan Bonilla,R,69,170,0.256,7,25.10186936,27.34375,0.84509804,1.477890614
Frank Tepedino,L,71,185,0.241,6,25.79944455,24.89626556,0.77815125,1.53185503
Rick Wise,R,73,180,0.195,15,23.74554325,76.92307692,1.176091259,1.372965226
Darrell Evans,L,74,200,0.248,414,25.67567568,1669.354839,2.617000341,1.522280271
Buck Martinez,R,70,190,0.225,58,27.25918367,257.7777778,1.763427994,1.644780449
John Wockenfuss,R,72,190,0.262,86,25.7658179,328.2442748,1.934498451,1.529253673
Tommy McCraw,L,72,183,0.246,75,24.81655093,304.8780488,1.875061263,1.45581838
Lee Lacy,R,73,175,0.286,91,23.08594483,318.1818182,1.959041392,1.321938692
Pete Rose,B,71,192,0.303,160,26.77563975,528.0528053,2.204119983,1.607373491
Danny Walton,R,72,195,0.223,28,26.44386574,125.5605381,1.447158031,1.581707454
Bobby Cox,R,71,180,0.225,9,25.10216227,40,0.954242509,1.477913273
Brad Wellman,R,72,170,0.231,6,23.05362654,25.97402597,0.77815125,1.319438549
Jeff Newman,R,74,215,0.224,63,27.60135135,281.25,1.799340549,1.67125054
Pedro Gonzalez,R,72,176,0.244,8,23.86728395,32.78688525,0.903089987,1.382383086
Tommie Reynolds,R,74,190,0.226,12,24.39189189,53.09734513,1.079181246,1.422966757
Gene Clines,R,69,170,0.277,5,25.10186936,18.05054152,0.698970004,1.477890614
Jim Hickman,R,75,192,0.252,159,23.99573333,630.952381,2.201397124,1.39231993
Jerry Buchek,R,71,185,0.22,22,25.79944455,100,1.342422681,1.53185503
Ivan DeJesus,R,71,175,0.254,21,24.40487998,82.67716535,1.322219295,1.423971515
Gary Nolan,R,74,197,0.138,1,25.29054054,7.246376812,0,1.492486216
Fred Whitfield,L,73,190,0.253,108,25.0647401,426.8774704,2.033423755,1.475018294
Larry Dierker,R,76,215,0.136,4,26.16776316,29.41176471,0.602059991,1.560348158
Dave Skaggs,R,74,200,0.241,3,25.67567568,12.44813278,0.477121255,1.522280271
Dick Ruthven,R,75,190,0.183,1,23.74577778,5.464480874,0,1.372983369
Dave Kingman,R,78,210,0.236,442,24.265286,1872.881356,2.645422269,1.413172525
Eric Soderholm,R,71,187,0.264,102,26.07835747,386.3636364,2.008600172,1.553431734
Ed Brinkman,R,72,170,0.224,60,23.05362654,267.8571429,1.77815125,1.319438549
Wayne Garrett,L,71,175,0.239,61,24.40487998,255.2301255,1.785329835,1.423971515
Tony Muser,L,74,180,0.259,7,23.10810811,27.02702703,0.84509804,1.323653243
Ted Ford,R,70,180,0.219,17,25.8244898,77.62557078,1.230448921,1.533792531
Jim Lyttle,L,72,180,0.248,9,24.40972222,36.29032258,0.954242509,1.424346111
Scot Thompson,L,75,195,0.262,5,24.37066667,19.08396947,0.698970004,1.421324774
Gene Locklear,L,70,165,0.274,9,23.67244898,32.84671533,0.954242509,1.367310653
Bo Diaz,R,71,185,0.255,87,25.79944455,341.1764706,1.939519253,1.53185503
Bump Wills,B,69,172,0.266,36,25.39718547,135.3383459,1.556302501,1.500736268
Pat Putnam,L,72,205,0.255,63,27.79996142,247.0588235,1.799340549,1.686615015
Kurt Bevacqua,R,72,180,0.236,27,24.40972222,114.4067797,1.431363764,1.424346111
Syd O'Brien,R,73,185,0.23,24,24.40514168,104.3478261,1.380211242,1.42399176
Chris Chambliss,L,73,195,0.279,185,25.72433853,663.0824373,2.267171728,1.526044829
Tom Satriano,L,73,185,0.225,21,24.40514168,93.33333333,1.322219295,1.42399176
Jeffrey Leonard,R,74,200,0.266,144,25.67567568,541.3533835,2.158362492,1.522280271
Dal Maxvill,R,71,157,0.217,6,21.89466376,27.64976959,0.77815125,1.229781188
Cesar Tovar,R,69,155,0.278,46,22.88699853,165.4676259,1.662757832,1.306548206
Jack Heidemann,R,72,175,0.211,9,23.73167438,42.65402844,0.954242509,1.37189233
Rich Rollins,R,70,185,0.269,77,26.54183673,286.2453532,1.886490725,1.589286489
Walt Bond,L,79,228,0.256,41,25.68242269,160.15625,1.612783857,1.522802219
Merv Rettenmund,R,70,190,0.271,66,27.25918367,243.5424354,1.819543936,1.644780449
Byron Browne,R,74,190,0.236,30,24.39189189,127.1186441,1.477121255,1.422966757
Hector Torres,R,72,175,0.216,18,23.73167438,83.33333333,1.255272505,1.37189233
Walt Williams,R,66,165,0.27,33,26.62878788,122.2222222,1.51851394,1.59601303
Jerry Koosman,R,74,205,0.119,2,26.31756757,16.80672269,0.301029996,1.571937027
Steve Lombardozzi,R,72,175,0.233,20,23.73167438,85.83690987,1.301029996,1.37189233
Joe Azcue,R,72,190,0.252,50,25.7658179,198.4126984,1.698970004,1.529253673
Elliott Maddox,R,71,180,0.261,18,25.10216227,68.96551724,1.255272505,1.477913273
Omar Moreno,L,74,180,0.252,37,23.10810811,146.8253968,1.568201724,1.323653243
Julian Javier,R,73,175,0.257,78,23.08594483,303.5019455,1.892094603,1.321938692
Elio Chacon,R,69,160,0.232,4,23.6252888,17.24137931,0.602059991,1.363662342
Rusty Torres,B,70,175,0.212,35,25.10714286,165.0943396,1.544068044,1.478298572
John Stearns,R,72,185,0.26,46,25.08777006,176.9230769,1.662757832,1.476799892
Larry Brown,R,70,160,0.233,47,22.95510204,201.7167382,1.672097858,1.311816694
Tommy Dean,R,72,165,0.18,4,22.3755787,22.22222222,0.602059991,1.266984768
Bruce Boisclair,L,74,185,0.263,10,23.75,38.02281369,1,1.37331
Ken Singleton,B,76,210,0.282,246,25.55921053,872.3404255,2.390935107,1.513270527
Frank White,R,71,165,0.255,160,23.01031541,627.4509804,2.204119983,1.316088
Jim Fairey,L,70,190,0.235,7,27.25918367,29.78723404,0.84509804,1.644780449
Tom Brookens,R,70,165,0.246,71,23.67244898,288.6178862,1.851258349,1.367310653
Gary Thomasson,L,73,180,0.249,61,23.74554325,244.9799197,1.785329835,1.372965226
Otto Velez,R,72,170,0.251,78,23.05362654,310.7569721,1.892094603,1.319438549
Tony Scott,B,72,164,0.249,17,22.23996914,68.27309237,1.230448921,1.256494013
Ray Oyler,R,71,165,0.175,15,23.01031541,85.71428571,1.176091259,1.316088
Floyd Robinson,L,69,175,0.283,67,25.84015963,236.7491166,1.826074803,1.535004749
Steve Jeltz,B,71,180,0.21,5,25.10216227,23.80952381,0.698970004,1.477913273
Lou Brock,L,71,170,0.293,149,23.7075977,508.5324232,2.173186268,1.370029758
Joe Lovitto,B,72,185,0.216,4,25.08777006,18.51851852,0.602059991,1.476799892
Wayne Comer,R,70,175,0.229,16,25.10714286,69.86899563,1.204119983,1.478298572
Dave Collins,B,71,175,0.272,32,24.40487998,117.6470588,1.505149978,1.423971515
Ed Spiezio,R,71,180,0.238,39,25.10216227,163.8655462,1.591064607,1.477913273
Rico Petrocelli,R,72,175,0.251,210,23.73167438,836.6533865,2.322219295,1.37189233
Johnny Lewis,L,73,189,0.227,22,24.93282042,96.91629956,1.342422681,1.464812988
Dick Simpson,R,76,176,0.207,15,21.42105263,72.46376812,1.176091259,1.193142631
Ken Boswell,L,72,170,0.248,31,23.05362654,125,1.491361694,1.319438549
Ken McMullen,R,75,190,0.248,156,23.74577778,629.0322581,2.193124598,1.372983369
Steve Swisher,R,74,205,0.216,20,26.31756757,92.59259259,1.301029996,1.571937027
Dick Howser,R,68,155,0.248,16,23.56509516,64.51612903,1.204119983,1.359005762
Manny Castillo,B,69,160,0.242,3,23.6252888,12.39669421,0.477121255,1.363662342
Mike Ramsey,B,73,170,0.24,2,22.42634641,8.333333333,0.301029996,1.270912158
Willie Crawford,L,73,197,0.268,86,25.98817789,320.8955224,1.934498451,1.546455442
Willie Norwood,R,72,185,0.242,18,25.08777006,74.38016529,1.255272505,1.476799892
Jeff Stone,L,72,175,0.277,11,23.73167438,39.71119134,1.041392685,1.37189233
Joe Lahoud,L,73,198,0.223,65,26.12009758,291.4798206,1.812913357,1.556660749
Tim Flannery,L,71,175,0.255,9,24.40487998,35.29411765,0.954242509,1.423971515
Dave McKay,B,73,195,0.229,21,25.72433853,91.70305677,1.322219295,1.526044829
Benny Ayala,R,73,185,0.251,38,24.40514168,151.3944223,1.579783597,1.42399176
Greg Gross,L,70,160,0.287,7,22.95510204,24.3902439,0.84509804,1.311816694
Sal Butera,R,72,190,0.227,8,25.7658179,35.24229075,0.903089987,1.529253673
Jack Brohamer,L,70,165,0.245,30,23.67244898,122.4489796,1.477121255,1.367310653
Von Joshua,L,70,170,0.273,30,24.38979592,109.8901099,1.477121255,1.422804612
Eddie Milner,L,71,173,0.253,42,24.12596707,166.0079051,1.62324929,1.402394813
Johnny Jeter,R,73,180,0.244,18,23.74554325,73.7704918,1.255272505,1.372965226
Angel Salazar,R,72,180,0.212,2,24.40972222,9.433962264,0.301029996,1.424346111
