"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Denny Lemaster","R",73,182,0.13,4,24.00938262,0.33,24.34,30.76923077,0.602059991,1.393375839,"healthy"
"Joe Nolan","L",71,175,0.263,27,24.40487998,0.23,24.64,102.661597,1.431363764,1.423971515,"healthy"
"Jose Cardenal","R",70,150,0.275,138,21.52040816,0.24,21.76,501.8181818,2.139879086,1.200828775,"healthy"
"Rod Kanehl","R",73,180,0.241,6,23.74554325,-0.41,23.33,24.89626556,0.77815125,1.372965226,"healthy"
"Rick Wise","R",73,180,0.195,15,23.74554325,-0.34,23.4,76.92307692,1.176091259,1.372965226,"healthy"
"Tommy McCraw","L",72,183,0.246,75,24.81655093,-0.2,24.62,304.8780488,1.875061263,1.45581838,"healthy"
"Lee Lacy","R",73,175,0.286,91,23.08594483,-0.31,22.78,318.1818182,1.959041392,1.321938692,"healthy"
"Brad Wellman","R",72,170,0.231,6,23.05362654,0.12,23.17,25.97402597,0.77815125,1.319438549,"healthy"
"Pedro Gonzalez","R",72,176,0.244,8,23.86728395,0.42,24.29,32.78688525,0.903089987,1.382383086,"healthy"
"Tommie Reynolds","R",74,190,0.226,12,24.39189189,0.48,24.87,53.09734513,1.079181246,1.422966757,"healthy"
"Jim Hickman","R",75,192,0.252,159,23.99573333,-0.09,23.91,630.952381,2.201397124,1.39231993,"healthy"
"Ivan DeJesus","R",71,175,0.254,21,24.40487998,0.26,24.66,82.67716535,1.322219295,1.423971515,"healthy"
"Dick Ruthven","R",75,190,0.183,1,23.74577778,-0.32,23.43,5.464480874,0,1.372983369,"healthy"
"Dave Kingman","R",78,210,0.236,442,24.265286,0.02,24.29,1872.881356,2.645422269,1.413172525,"healthy"
"Ed Brinkman","R",72,170,0.224,60,23.05362654,-0.2,22.86,267.8571429,1.77815125,1.319438549,"healthy"
"Wayne Garrett","L",71,175,0.239,61,24.40487998,0.24,24.65,255.2301255,1.785329835,1.423971515,"healthy"
